nombre_area,estado,poblacion,lat,lon,tipo_zona,consumo_anual_m3
Ayutla de los Libres,Guerrero,62690,16.97,-99.1,Agrícola,43883000
Azoyú,Guerrero,14389,16.55,-98.98,Agrícola,10072300
Benito Juárez,Guerrero,15019,17.1,-100.45,Agrícola,10513300
Buenavista de Cuéllar,Guerrero,12178,18.43,-99.4,Agrícola,8524600
Coahuayutla de José María Izazaga,Guerrero,12028,18.25,-101.2,Agrícola,8419600
Cocula,Guerrero,14346,18.23,-99.65,Mixta,11476800
Copala,Guerrero,13627,16.63,-98.98,Agrícola,9538900
Copalillo,Guerrero,15424,17.98,-99.13,Agrícola,10796800
Copanatoyac,Guerrero,21666,17.4,-98.7,Agrícola,15166200
Coyuca de Benítez,Guerrero,73056,17,-100.08,Mixta,58444800
Coyuca de Catalán,Guerrero,38546,18.33,-100.67,Agrícola,26982200
Cuajinicuilapa,Guerrero,26627,16.47,-98.42,Agrícola,18638900
Cualác,Guerrero,7879,17.72,-98.67,Agrícola,5515300
Cuautepec,Guerrero,15115,16.73,-99,Agrícola,10580500
Cuetzala del Progreso,Guerrero,8833,18.2,-99.85,Agrícola,6183100
Cutzamala de Pinzón,Guerrero,20108,18.57,-100.58,Agrícola,14075600
Chilapa de Álvarez,Guerrero,123740,17.6,-99.17,Mixta,98992000
Chilpancingo de los Bravo,Guerrero,283354,17.55,-99.5,Servicios,311689400
Florencio Villarreal,Guerrero,20175,16.73,-99.12,Agrícola,14122500
General Canuto A. Neri,Guerrero,6209,18.35,-99.7,Agrícola,4346300
General Heliodoro Castillo,Guerrero,37295,17.78,-100.03,Agrícola,26106500
Huamuxtitlán,Guerrero,17303,17.8,-98.55,Agrícola,12112100
Huitzuco de los Figueroa,Guerrero,36142,18.3,-99.37,Agrícola,25299400
Iguala de la Independencia,Guerrero,154173,18.35,-99.53,Servicios,154173000
Igualapa,Guerrero,11794,16.67,-98.5,Agrícola,8255800
Ixcateopan de Cuauhtémoc,Guerrero,6114,18.5,-99.78,Servicios,5502600
Zihuatanejo de Azueta,Guerrero,128574,17.63,-101.55,Servicios,154288800
Juan R. Escudero,Guerrero,26176,17.13,-99.53,Agrícola,18323200
Leonardo Bravo,Guerrero,25895,17.63,-99.78,Agrícola,18126500
Malinaltepec,Guerrero,29627,17.28,-98.67,Agrícola,20738900
Mártir de Cuilapan,Guerrero,18784,17.92,-99.32,Agrícola,13148800
Metlatónoc,Guerrero,18976,17.2,-98.42,Agrícola,13283200
Mochitlán,Guerrero,12061,17.47,-99.38,Agrícola,8442700
Olinalá,Guerrero,25633,17.83,-98.83,Agrícola,17943100
Ometepec,Guerrero,68249,16.68,-98.4,Mixta,54599200
Pedro Ascencio Alquisiras,Guerrero,6709,18.57,-99.8,Agrícola,4696300
Petatlán,Guerrero,44979,17.53,-101.27,Mixta,35983200
Pilcaya,Guerrero,12739,18.73,-99.68,Agrícola,8917300
Pungarabato,Guerrero,38481,18.33,-100.67,Mixta,30784800
Quechultenango,Guerrero,36143,17.4,-99.3,Agrícola,25299100
San Luis Acatlán,Guerrero,42380,16.8,-98.73,Agrícola,29666000
San Marcos,Guerrero,50124,16.8,-99.38,Agrícola,35086800
San Miguel Totolapan,Guerrero,24139,18.15,-100.32,Agrícola,16897300
Taxco de Alarcón,Guerrero,105586,18.55,-99.6,Servicios,116144600
Tecoanapa,Guerrero,46065,16.92,-99.27,Agrícola,32245500
Técpan de Galeana,Guerrero,62071,17.22,-100.63,Mixta,49656800
Teloloapan,Guerrero,53769,18.35,-99.87,Mixta,43015200
Tepecoacuilco de Trujano,Guerrero,30470,18.2,-99.47,Agrícola,21329000
Tetipac,Guerrero,13115,18.63,-99.65,Agrícola,9180500
Tixtla de Guerrero,Guerrero,43171,17.57,-99.4,Mixta,34536800
Tlacoachistlahuaca,Guerrero,21360,16.78,-98.3,Agrícola,14952000
Tlacoapa,Guerrero,11219,17.22,-98.75,Agrícola,7853300
Tlalchapa,Guerrero,11631,18.43,-100.47,Agrícola,8141700
Tlalixtaquilla de Maldonado,Guerrero,7604,17.5,-98.45,Agrícola,5322800
Tlapa de Comonfort,Guerrero,96125,17.55,-98.57,Mixta,76900000
Tlapehuala,Guerrero,22209,18.3,-100.5,Agrícola,15546300
La Unión de Isidoro Montes de Oca,Guerrero,25637,17.98,-101.8,Servicios,25637000
Xalpatláhuac,Guerrero,12727,17.47,-98.6,Agrícola,8908900
Xochihuehuetlán,Guerrero,7850,17.9,-98.47,Agrícola,5495000
Xochistlahuaca,Guerrero,29891,16.78,-98.23,Agrícola,20923700
Zapotitlán Tablas,Guerrero,11508,17.37,-98.8,Agrícola,8055600
Zirándaro,Guerrero,18031,18.45,-101.1,Agrícola,12621700
Zitlala,Guerrero,22587,17.8,-99.2,Agrícola,15810900
Eduardo Neri,Guerrero,53126,17.72,-99.57,Mixta,42500800
Acatepec,Guerrero,37837,17.2,-98.95,Agrícola,26485900
Marquelia,Guerrero,14173,16.58,-98.82,Servicios,12755700
Cochoapa el Grande,Guerrero,21275,17.1,-98.4,Agrícola,14892500
José Joaquín de Herrera,Guerrero,15678,17.45,-99.02,Agrícola,10974600
Juchitán,Guerrero,7569,16.6,-98.7,Agrícola,5298300
Iliatenco,Guerrero,10522,17.1,-98.68,Agrícola,7365400
Las Vigas,Guerrero,8000,17,-99.3,Agrícola,5600000
Santa Cruz del Rincón,Guerrero,7000,17.2,-98.8,Agrícola,4900000
San Nicolás,Guerrero,7000,16.8,-98.7,Agrícola,4900000
Acatlán,Hidalgo,22268,20.18,-98.45,Agrícola,15587600
Acaxochitlán,Hidalgo,45155,20.15,-98.2,Agrícola,31608500
Actopan,Hidalgo,61002,20.27,-98.93,Mixta,48801600
Agua Blanca de Iturbide,Hidalgo,9634,20.35,-98.35,Agrícola,6743800
Ajacuba,Hidalgo,18630,20.1,-99.1,Agrícola,13041000
Alfajayucan,Hidalgo,19205,20.4,-99.37,Agrícola,13443500
Almoloya,Hidalgo,12487,19.72,-98.37,Agrícola,8740900
Apan,Hidalgo,46698,19.72,-98.45,Mixta,37358400
El Arenal,Hidalgo,20357,20.22,-98.9,Agrícola,14249900
Atitalaquia,Hidalgo,31697,20,-99.22,Industrial,34866700
Atlapexco,Hidalgo,19754,21,-98.37,Agrícola,13827800
Atotonilco el Grande,Hidalgo,29007,20.28,-98.67,Mixta,23205600
Atotonilco de Tula,Hidalgo,62477,19.97,-99.27,Industrial,68724700
Calnali,Hidalgo,16752,20.9,-98.57,Agrícola,11726400
Cardonal,Hidalgo,19485,20.6,-99.12,Agrícola,13639500
Cuautepec de Hinojosa,Hidalgo,60353,19.98,-98.3,Mixta,48282400
Chapantongo,Hidalgo,13076,20.28,-99.4,Agrícola,9153200
Chapulhuacán,Hidalgo,22379,21.15,-98.92,Agrícola,15665300
Chilcuautla,Hidalgo,18520,20.32,-99.23,Agrícola,12964000
Eloxochitlán,Hidalgo,2598,20.73,-98.78,Agrícola,1818600
Emiliano Zapata,Hidalgo,15309,19.65,-98.57,Agrícola,10716300
Epazoyucan,Hidalgo,16223,19.98,-98.78,Agrícola,11356100
Francisco I. Madero,Hidalgo,36263,20.25,-99.07,Agrícola,25384100
Huasca de Ocampo,Hidalgo,17578,20.2,-98.57,Servicios,17578000
Huautla,Hidalgo,20786,21.03,-98.28,Agrícola,14550200
Huazalingo,Hidalgo,13410,21.07,-98.5,Agrícola,9387000
Huehuetla,Hidalgo,23820,20.5,-98.07,Agrícola,16674000
Huejutla de Reyes,Hidalgo,131553,21.13,-98.42,Mixta,105242400
Huichapan,Hidalgo,47425,20.37,-99.65,Mixta,37940000
Ixmiquilpan,Hidalgo,98654,20.48,-99.22,Mixta,88788600
Jacala de Ledezma,Hidalgo,11516,21.02,-99.18,Agrícola,8061200
Jaltocán,Hidalgo,10657,21.1,-98.52,Agrícola,7459900
Juárez Hidalgo,Hidalgo,2900,20.77,-98.83,Agrícola,2030000
Lolotla,Hidalgo,9588,20.88,-98.7,Agrícola,6711600
Metepec,Hidalgo,12903,20.25,-98.37,Agrícola,9032100
San Agustín Metzquititlán,Hidalgo,9789,20.53,-98.63,Agrícola,6852300
Metztitlán,Hidalgo,20970,20.6,-98.77,Agrícola,14679000
Mineral del Chico,Hidalgo,8855,20.22,-98.73,Servicios,8000000
Mineral del Monte,Hidalgo,14324,20.13,-98.67,Servicios,12891600
La Misión,Hidalgo,9718,21.08,-99.05,Agrícola,6802600
Mixquiahuala de Juárez,Hidalgo,47109,20.23,-99.2,Mixta,37687200
Molango de Escamilla,Hidalgo,11585,20.78,-98.72,Agrícola,8109500
Nicolás Flores,Hidalgo,6151,20.83,-99.15,Agrícola,4305700
Nopala de Villagrán,Hidalgo,16752,20.2,-99.65,Agrícola,11726400
Omitlán de Juárez,Hidalgo,9231,20.18,-98.65,Servicios,8307900
San Felipe Orizatlán,Hidalgo,41591,21.18,-98.6,Agrícola,29113700
Pacula,Hidalgo,4503,21.03,-99.3,Agrícola,3152100
Pachuca de Soto,Hidalgo,314331,20.1,-98.73,Servicios,377197200
Pisaflores,Hidalgo,18129,21.2,-98.98,Agrícola,12690300
Progreso de Obregón,Hidalgo,23854,20.25,-99.18,Mixta,19083200
Mineral de la Reforma,Hidalgo,202749,20.08,-98.7,Mixta,182474100
San Agustín Tlaxiaca,Hidalgo,38891,20.07,-98.88,Mixta,31112800
San Bartolo Tutotepec,Hidalgo,18520,20.4,-98.2,Agrícola,12964000
San Salvador,Hidalgo,36767,20.33,-99,Agrícola,25736900
Santiago de Anaya,Hidalgo,18131,20.38,-98.97,Agrícola,12691700
Santiago Tulantepec de Lugo Guerrero,Hidalgo,39121,20.03,-98.37,Mixta,31296800
Singuilucan,Hidalgo,15147,19.97,-98.53,Agrícola,10602900
Tasquillo,Hidalgo,17468,20.55,-99.32,Agrícola,12227600
Tecozautla,Hidalgo,38012,20.53,-99.63,Servicios,30409600
Tenango de Doria,Hidalgo,17206,20.32,-98.22,Agrícola,12044200
Tepeapulco,Hidalgo,56150,19.78,-98.55,Mixta,44920000
Tepehuacán de Guerrero,Hidalgo,30701,21.05,-98.83,Agrícola,21490700
Tepeji del Río de Ocampo,Hidalgo,90546,19.9,-99.33,Industrial,108655200
Tepetitlán,Hidalgo,11545,20.18,-99.38,Agrícola,8081500
Tetepango,Hidalgo,12028,20.12,-99.18,Agrícola,8419600
Villa de Tezontepec,Hidalgo,12630,19.88,-98.82,Agrícola,8841000
Tezontepec de Aldama,Hidalgo,54415,20.18,-99.27,Mixta,43532000
Tianguistengo,Hidalgo,14349,20.78,-98.6,Agrícola,10044300
Tizayuca,Hidalgo,168302,19.83,-98.97,Industrial,185132200
Tlahuelilpan,Hidalgo,19241,20.13,-99.23,Mixta,15392800
Tlahuiltepa,Hidalgo,9360,20.92,-98.95,Agrícola,6552000
Tlanalapa,Hidalgo,11082,19.82,-98.58,Agrícola,7757400
Tlanchinol,Hidalgo,36490,21.03,-98.65,Agrícola,25543000
Tlaxcoapan,Hidalgo,28646,20.08,-99.22,Mixta,22916800
Tolcayuca,Hidalgo,21183,19.93,-98.92,Mixta,16946400
Tula de Allende,Hidalgo,115107,20.05,-99.33,Industrial,126617700
Tulancingo de Bravo,Hidalgo,168352,20.08,-98.37,Mixta,151516800
Xochiatipan,Hidalgo,18632,20.85,-98.3,Agrícola,13042400
Xochicoatlán,Hidalgo,6916,20.78,-98.68,Agrícola,4841200
Yahualica,Hidalgo,24775,20.93,-98.35,Agrícola,17342500
Zacualtipán de Ángeles,Hidalgo,38260,20.65,-98.6,Mixta,28695000
Zapotlán de Juárez,Hidalgo,21443,19.97,-98.85,Agrícola,15010100
Zempoala,Hidalgo,57906,19.92,-98.67,Mixta,46324800
Zimapán,Hidalgo,39927,20.73,-99.38,Servicios,31941600
Acatic,Jalisco,23460,20.785,-102.911,Agrícola,16422000
Acatlán de Juárez,Jalisco,25450,20.414,-103.593,Mixta,19087500
Ahualulco de Mercado,Jalisco,23630,20.7,-103.98,Agrícola,17722500
Amacueca,Jalisco,5690,20.046,-103.598,Agrícola,3983000
Amatitán,Jalisco,16550,20.838,-103.719,Agrícola,13240000
Ameca,Jalisco,60386,20.55,-104.04,Mixta,48308800
San Juanito de Escobedo,Jalisco,9433,20.82,-103.98,Agrícola,7074750
Arandas,Jalisco,80609,20.704,-102.346,Mixta,64487200
El Arenal,Jalisco,20463,20.77,-103.69,Agrícola,15347250
Atemajac de Brizuela,Jalisco,7077,20.21,-103.72,Agrícola,5307750
Atengo,Jalisco,5623,20.35,-104.18,Agrícola,3936100
Atenguillo,Jalisco,4301,20.43,-104.47,Agrícola,3225750
Atotonilco el Alto,Jalisco,64103,20.53,-102.51,Mixta,51282400
Atoyac,Jalisco,8690,20.01,-103.52,Agrícola,6517500
Autlán de Navarro,Jalisco,64931,19.77,-104.36,Mixta,51944800
Ayotlán,Jalisco,41738,20.44,-102.39,Agrícola,31303500
Ayutla,Jalisco,13063,20.12,-104.34,Agrícola,9797250
La Barca,Jalisco,67937,20.29,-102.54,Mixta,54349600
Bolaños,Jalisco,7133,21.9,-103.78,Agrícola,5349750
Cabo Corrientes,Jalisco,10724,20.24,-105.51,Servicios,10724000
Casimiro Castillo,Jalisco,20689,19.59,-104.43,Agrícola,15516750
Cihuatlán,Jalisco,19992,19.23,-104.57,Servicios,21991200
Zapotlán el Grande,Jalisco,115141,19.7,-103.46,Servicios,126655100
Cocula,Jalisco,29267,20.36,-103.82,Mixta,21950250
Colotlán,Jalisco,19797,22.12,-103.27,Mixta,14847750
Concepción de Buenos Aires,Jalisco,6616,19.92,-103.36,Agrícola,4962000
Cuautitlán de García Barragán,Jalisco,18540,19.43,-104.51,Agrícola,13905000
Cuautla,Jalisco,2207,20.24,-104.4,Agrícola,1655250
Cuquío,Jalisco,19176,20.92,-103.04,Agrícola,14382000
Chapala,Jalisco,55196,20.3,-103.19,Servicios,60715600
Chimaltitán,Jalisco,3278,21.82,-103.74,Agrícola,2458500
Chiquilistlán,Jalisco,5770,20.26,-103.81,Agrícola,4327500
Degollado,Jalisco,21272,20.44,-102.14,Mixta,15954000
Ejutla,Jalisco,1986,19.95,-104.14,Agrícola,1489500
Encarnación de Díaz,Jalisco,53555,21.52,-102.23,Mixta,40166250
Etzatlán,Jalisco,20176,20.77,-104.09,Agrícola,15132000
El Grullo,Jalisco,25950,19.8,-104.21,Mixta,20760000
Guachinango,Jalisco,4376,20.61,-104.38,Agrícola,3282000
Guadalajara,Jalisco,1385629,20.67,-103.34,Servicios,1662754800
Hostotipaquillo,Jalisco,10578,21.08,-103.9,Agrícola,7933500
Huejúcar,Jalisco,5903,22.35,-103.21,Agrícola,4427250
Huejuquilla el Alto,Jalisco,9340,22.6,-103.87,Agrícola,7005000
La Huerta,Jalisco,24727,19.48,-104.64,Agrícola,18545250
Ixtlahuacán de los Membrillos,Jalisco,67832,20.42,-103.19,Mixta,54265600
Ixtlahuacán del Río,Jalisco,20464,20.87,-103.25,Agrícola,15348000
Jalostotitlán,Jalisco,35071,21.17,-102.47,Mixta,26303250
Jamay,Jalisco,24894,20.25,-102.7,Agrícola,18670500
Jesús María,Jalisco,18972,20.64,-102.23,Agrícola,14229000
Jilotlán de los Dolores,Jalisco,10305,19.34,-103.01,Agrícola,7728750
Jocotepec,Jalisco,47534,20.29,-103.43,Servicios,52287400
Juanacatlán,Jalisco,33467,20.52,-103.17,Industrial,36813700
Juchitlán,Jalisco,5497,20.09,-104.09,Agrícola,4122750
Lagos de Moreno,Jalisco,172403,21.36,-101.92,Mixta,155162700
El Limón,Jalisco,5465,19.82,-104.16,Agrícola,4098750
Magdalena,Jalisco,22687,20.91,-104.02,Agrícola,17015250
Santa María del Oro,Jalisco,1815,19.56,-102.68,Agrícola,1361250
La Manzanilla de la Paz,Jalisco,4014,19.98,-103.08,Agrícola,3010500
Mascota,Jalisco,14979,20.52,-104.79,Servicios,13481100
Mazamitla,Jalisco,14925,19.91,-103.02,Servicios,16417500
Mexticacán,Jalisco,6034,21.34,-102.73,Agrícola,4525500
Mezquitic,Jalisco,19992,22.03,-103.73,Agrícola,14994000
Mixtlán,Jalisco,3670,20.46,-104.3,Agrícola,2752500
Ocotlán,Jalisco,106059,20.35,-102.76,Industrial,116664900
Ojuelos de Jalisco,Jalisco,32308,21.87,-101.59,Mixta,24231000
Pihuamo,Jalisco,11537,19.25,-103.38,Agrícola,8652750
Poncitlán,Jalisco,53659,20.38,-102.92,Mixta,42927200
Puerto Vallarta,Jalisco,291839,20.62,-105.22,Servicios,379390700
Villa Purificación,Jalisco,11186,19.72,-104.6,Agrícola,8389500
Quitupan,Jalisco,7957,19.82,-102.85,Agrícola,5967750
El Salto,Jalisco,232852,20.53,-103.29,Industrial,279422400
San Cristóbal de la Barranca,Jalisco,3284,21.03,-103.48,Agrícola,2463000
San Diego de Alejandría,Jalisco,7074,21.02,-102.13,Agrícola,5305500
San Juan de los Lagos,Jalisco,72230,21.25,-102.33,Servicios,65007000
San Julián,Jalisco,16578,21.01,-102.17,Mixta,12433500
San Marcos,Jalisco,3791,20.78,-104.19,Agrícola,2843250
San Martín de Bolaños,Jalisco,2992,21.7,-103.8,Agrícola,2244000
San Martín Hidalgo,Jalisco,27891,20.43,-103.92,Mixta,20918250
San Miguel el Alto,Jalisco,32289,21.02,-102.39,Mixta,24216750
Gómez Farías,Jalisco,17042,19.81,-103.45,Agrícola,12781500
San Sebastián del Oeste,Jalisco,5978,20.76,-104.85,Servicios,5380200
Santa María de los Ángeles,Jalisco,3677,22.28,-103.04,Agrícola,2757750
Sayula,Jalisco,37633,19.88,-103.59,Mixta,28224750
Tala,Jalisco,87690,20.67,-103.7,Industrial,96459000
Talpa de Allende,Jalisco,15643,20.38,-104.82,Servicios,14078700
Tamazula de Gordiano,Jalisco,43003,19.67,-103.25,Agrícola,32252250
Tapalpa,Jalisco,19506,19.94,-103.76,Servicios,19506000
Tecalitlán,Jalisco,16705,19.47,-103.3,Agrícola,12528750
Tecolotlán,Jalisco,17502,20.21,-104.05,Agrícola,13126500
Techaluta de Montenegro,Jalisco,3717,19.94,-103.56,Agrícola,2787750
Tenamaxtlán,Jalisco,7395,20.2,-104.17,Agrícola,5546250
Teocaltiche,Jalisco,40131,21.44,-102.58,Mixta,30098250
Teocuitatlán de Corona,Jalisco,11181,20.18,-103.4,Agrícola,8385750
Tepatitlán de Morelos,Jalisco,150190,20.81,-102.73,Mixta,135171000
Tequila,Jalisco,44347,20.88,-103.83,Servicios,44347000
Teuchitlán,Jalisco,9591,20.68,-103.85,Agrícola,7193250
Tizapán el Alto,Jalisco,22045,20.17,-103.07,Agrícola,16533750
Tlajomulco de Zúñiga,Jalisco,727750,20.48,-103.44,Industrial,873300000
San Pedro Tlaquepaque,Jalisco,687127,20.61,-103.31,Industrial,755839700
Tolimán,Jalisco,9513,19.61,-103.95,Agrícola,7134750
Tomatlán,Jalisco,34914,19.93,-105.25,Agrícola,26185500
Tonalá,Jalisco,569913,20.62,-103.23,Industrial,626904300
Tonaya,Jalisco,5953,19.83,-104.08,Agrícola,4464750
Tonila,Jalisco,7397,19.45,-103.51,Agrícola,5547750
Totatiche,Jalisco,4441,21.93,-103.44,Agrícola,3330750
Tototlán,Jalisco,23531,20.52,-102.77,Agrícola,17648250
Tuxcacuesco,Jalisco,3711,19.82,-104,Agrícola,2783250
Tuxcueca,Jalisco,6043,20.12,-103.27,Agrícola,4532250
Tuxpan,Jalisco,36306,19.55,-103.37,Mixta,27229500
Unión de San Antonio,Jalisco,17623,21.13,-102,Agrícola,13217250
Unión de Tula,Jalisco,13994,20.01,-104.26,Mixta,10495500
Valle de Guadalupe,Jalisco,7220,21,-102.6,Agrícola,5415000
Valle de Juárez,Jalisco,6616,19.91,-102.89,Agrícola,4962000
San Gabriel,Jalisco,16576,19.74,-103.76,Agrícola,12432000
Villa Corona,Jalisco,17978,20.42,-103.68,Agrícola,13483500
Villa Guerrero,Jalisco,6001,21.98,-103.6,Agrícola,4500750
Villa Hidalgo,Jalisco,19688,21.66,-102.6,Mixta,14766000
Cañadas de Obregón,Jalisco,4130,21.1,-102.75,Agrícola,3097500
Yahualica de González Gallo,Jalisco,22687,21.17,-102.88,Mixta,17015250
Zacoalco de Torres,Jalisco,30635,20.23,-103.58,Mixta,22976250
Zapopan,Jalisco,1476491,20.72,-103.4,Servicios,1771789200
Zapotiltic,Jalisco,32123,19.62,-103.41,Mixta,24092250
Zapotitlán de Vadillo,Jalisco,6874,19.57,-103.82,Agrícola,5155500
Zapotlán del Rey,Jalisco,18596,20.46,-102.91,Agrícola,13947000
Zapotlanejo,Jalisco,64808,20.62,-103.06,Industrial,71288800
San Ignacio Cerro Gordo,Jalisco,10978,20.74,-102.51,Agrícola,8233500
Acambay de Ruíz Castañeda,México,66946,19.95,-99.84,Agrícola,50209500
Acolman,México,171507,19.63,-98.92,Mixta,154356300
Aculco,México,49646,20.1,-99.82,Agrícola,34752200
Almoloya de Alquisiras,México,15424,18.82,-99.88,Agrícola,10796800
Almoloya de Juárez,México,174547,19.37,-99.75,Agrícola,122182900
Almoloya del Río,México,12239,19.15,-99.48,Agrícola,8567300
Amanalco,México,23675,19.25,-99.98,Agrícola,16572500
Amatepec,México,26946,18.68,-100.18,Agrícola,18862200
Amecameca,México,53441,19.12,-98.77,Mixta,42752800
Apaxco,México,31896,19.98,-99.17,Industrial,35085600
Atenco,México,74776,19.55,-98.92,Agrícola,52343200
Atizapán,México,12891,19.23,-99.5,Agrícola,9023700
Atizapán de Zaragoza,México,523674,19.57,-99.25,Industrial,628408800
Atlacomulco,México,109104,19.8,-99.87,Mixta,98193600
Atlautla,México,31697,19.02,-98.78,Agrícola,22187900
Axapusco,México,27521,19.72,-98.73,Agrícola,19264700
Ayapango,México,11213,19.13,-98.8,Agrícola,7849100
Calimaya,México,69075,19.17,-99.62,Agrícola,48352500
Capulhuac,México,38734,19.2,-99.47,Mixta,28000000
Coacalco de Berriozábal,México,293440,19.63,-99.1,Industrial,352128000
Coatepec Harinas,México,38624,18.92,-99.77,Agrícola,27036800
Cocotitlán,México,15167,19.22,-98.87,Agrícola,10616900
Coyotepec,México,42353,19.78,-99.22,Agrícola,29647100
Cuautitlán,México,178847,19.67,-99.18,Industrial,214616400
Chalco,México,400192,19.27,-98.9,Mixta,480230400
Chapa de Mota,México,27548,19.83,-99.52,Agrícola,19283600
Chapultepec,México,14041,19.18,-99.5,Agrícola,9828700
Chiautla,México,22687,19.55,-98.95,Agrícola,15880900
Chicoloapan,México,193763,19.43,-98.9,Mixta,193763000
Chiconcuac,México,26920,19.57,-98.9,Mixta,21536000
Chimalhuacán,México,705193,19.42,-98.95,Industrial,846231600
Donato Guerra,México,37170,19.3,-100.13,Agrícola,26019000
Ecatepec de Morelos,México,1645352,19.6,-99.05,Industrial,1974422400
Ecatzingo,México,10978,18.95,-98.73,Agrícola,7684600
Huehuetoca,México,163250,19.83,-99.2,Mixta,146925000
Hueypoxtla,México,47109,19.92,-99.05,Agrícola,32976300
Huixquilucan,México,284965,19.37,-99.35,Servicios,341958000
Isidro Fabela,México,11545,19.52,-99.43,Agrícola,8081500
Ixtapaluca,México,542211,19.32,-98.88,Mixta,650653200
Ixtapan de la Sal,México,38481,18.83,-99.68,Servicios,34632900
Ixtapan del Oro,México,6916,19.18,-100.27,Agrícola,4841200
Ixtlahuaca,México,177114,19.57,-99.77,Mixta,141691200
Xalatlaco,México,20286,19.17,-99.42,Agrícola,14199200
Jaltenco,México,31080,19.75,-99.1,Mixta,24864000
Jilotepec,México,87690,19.98,-99.52,Agrícola,61383000
Jilotzingo,México,19506,19.45,-99.32,Agrícola,13654200
Jiquipilco,México,74542,19.55,-99.6,Agrícola,52179400
Jocotitlán,México,65147,19.7,-99.78,Agrícola,45602900
Joquicingo,México,13627,19.1,-99.52,Agrícola,9538900
Juchitepec,México,28267,19.08,-98.87,Agrícola,19786900
Lerma,México,170327,19.28,-99.52,Industrial,187359700
Malinalco,México,28145,18.95,-99.5,Servicios,25330500
Melchor Ocampo,México,61220,19.7,-99.15,Mixta,48976000
Metepec,México,242307,19.25,-99.6,Servicios,290768400
Mexicaltzingo,México,14041,19.2,-99.55,Agrícola,9828700
Morelos,México,19041,19.68,-99.67,Agrícola,13328700
Naucalpan de Juárez,México,834434,19.47,-99.23,Industrial,1001320800
Nezahualcóyotl,México,1077208,19.4,-99.02,Servicios,1292649600
Nextlalpan,México,55803,19.75,-99.05,Mixta,44642400
Nicolás Romero,México,432205,19.62,-99.3,Mixta,432205000
Nopaltepec,México,10305,19.77,-98.7,Agrícola,7213500
Ocoyoacac,México,73021,19.27,-99.47,Agrícola,51114700
Ocuilan,México,34892,18.98,-99.37,Agrícola,24424400
El Oro,México,37424,19.8,-100.13,Servicios,33681600
Otumba,México,36531,19.7,-98.75,Agrícola,25571700
Otzoloapan,México,4820,19.12,-100.28,Agrícola,3374000
Otzolotepec,México,89558,19.38,-99.55,Agrícola,62690600
Ozumba,México,30548,19.03,-98.8,Mixta,24438400
Papalotla,México,4923,19.55,-98.85,Agrícola,3446100
La Paz,México,304473,19.37,-98.98,Mixta,365367600
Polotitlán,México,14925,20.22,-99.8,Agrícola,10447500
Rayón,México,15424,19.15,-99.57,Agrícola,10796800
San Antonio la Isla,México,30909,19.17,-99.55,Agrícola,21636300
San Felipe del Progreso,México,127044,19.7,-99.95,Agrícola,88930800
San Martín de las Pirámides,México,29128,19.7,-98.83,Servicios,26215200
San Mateo Atenco,México,97479,19.25,-99.53,Industrial,107226900
San Simón de Guerrero,México,6413,18.92,-100.03,Agrícola,4489100
Santo Tomás,México,4490,19.18,-100.23,Agrícola,3143000
Soyaniquilpan de Juárez,México,12423,20.03,-99.5,Agrícola,8696100
Sultepec,México,24966,18.82,-100,Agrícola,17476200
Tecámac,México,547503,19.72,-98.97,Mixta,602253300
Tejupilco,México,74776,18.9,-100.15,Mixta,59820800
Temamatla,México,13880,19.2,-98.87,Agrícola,9716000
Temascalapa,México,44347,19.8,-98.88,Agrícola,31042900
Temascalcingo,México,66779,19.92,-100,Agrícola,46745300
Temascaltepec,México,34892,19.03,-100.03,Agrícola,24424400
Temoaya,México,105766,19.47,-99.6,Agrícola,74036200
Tenancingo,México,104646,18.97,-99.6,Mixta,83716800
Tenango del Aire,México,12822,19.15,-98.85,Agrícola,8975400
Tenango del Valle,México,90315,19.1,-99.6,Mixta,72252000
Teoloyucan,México,107000,19.75,-99.18,Mixta,96300000
Teotihuacán,México,57463,19.68,-98.87,Servicios,57463000
Tepetlaoxtoc,México,32126,19.58,-98.82,Agrícola,22488200
Tepetlixpa,México,20171,19.05,-98.82,Agrícola,14119700
Tepotzotlán,México,103692,19.72,-99.22,Servicios,114061200
Tequixquiac,México,39527,19.9,-99.13,Agrícola,27668900
Texcaltitlán,México,17042,18.97,-99.9,Agrícola,11929400
Texcalyacac,México,6413,19.15,-99.45,Agrícola,4489100
Texcoco,México,277028,19.52,-98.88,Mixta,249325200
Tezoyuca,México,48827,19.6,-98.92,Mixta,39061600
Tianguistenco,México,80453,19.17,-99.47,Mixta,64362400
Timilpan,México,16117,19.8,-99.72,Agrícola,11281900
Tlalmanalco,México,51100,19.2,-98.8,Mixta,40880000
Tlalnepantla de Baz,México,672202,19.53,-99.2,Industrial,806642400
Tlatlaya,México,34892,18.6,-100.2,Agrícola,24424400
Toluca,México,910608,19.28,-99.65,Servicios,1092729600
Tonatico,México,13627,18.82,-99.67,Servicios,12264300
Tultepec,México,159647,19.68,-99.12,Mixta,143682300
Tultitlán,México,516341,19.65,-99.17,Industrial,619609200
Valle de Bravo,México,66601,19.2,-100.13,Servicios,73261100
Villa de Allende,México,53126,19.38,-100.13,Agrícola,37188200
Villa del Carbón,México,51213,19.72,-99.47,Servicios,46091700
